Word,Confusability,Frequency,Length,NumNeighbors,CV
Q-AH1,0.999963687597,13.8903935155,2,10,V
Q-EY1,0.87710591874,5.58349630878,2,10,V
Q-AA1,0.599126261528,9.48971301656,2,10,V
Q-AY1,0.986772315403,14.5317197541,2,10,V
Q-OW1,0.920997933347,12.1232343672,2,10,V
Q-AO1,0.572138721396,7.70210434005,2,10,V
Q-IY1,0.917032144954,8.26719218593,2,10,V
Q-EH1,0.93498176857,7.87054784451,2,10,V
Q-ER1,0.979894788031,7.58375630071,2,10,V
Q-OY1,0.941842843655,5.74300318781,2,10,V
Q-UW1,0.898563557249,8.48198043566,2,10,V
Q-EY1-EY1,0.992645456762,4.46590811865,3,6,VV
Q-ER1-EY1,0.9950439061,4.68213122712,3,6,VV
Q-AW1-ER1,0.998448811247,11.2860499586,3,6,VV
Q-ER1-AY1,0.977659718156,3.33220451018,3,6,VV
Q-IY1-AH1,0.999999583313,3.04452243772,3,6,VV
Q-AY1-OW1,0.999984835177,2.63905732962,3,6,VV
Q-OY1-ER1,0.774732305554,1.09861228867,3,6,VV
Q-T-R-IH1-P-AH1-L-EY1,0.967495262951,3.21887582487,8,106,CCVCVCV
Q-B-Y-UW1-T-IH1-F-AY1,0.999999998332,2.07944154168,8,106,CCVCVCV
Q-B-L-UW1-B-EH1-R-IY1,0.99999999966,4.8751973232,8,106,CCVCVCV
Q-B-R-AA1-CH-EH1-R-OW1,0.999999999983,2.30258509299,8,106,CCVCVCV
Q-B-R-AE1-S-AH1-R-IY1,0.999999996746,1.60943791243,8,106,CCVCVCV
Q-B-R-AH1-V-AA1-D-OW1,0.999977774792,3.17805383035,8,106,CCVCVCV
Q-B-R-EY1-K-AH1-W-EY1,0.999990156427,3.52636052462,8,106,CCVCVCV
Q-B-R-EH1-V-AH1-T-IY1,0.967054969361,2.3978952728,8,106,CCVCVCV
Q-B-R-AA1-K-AH1-L-IY1,0.99994504256,4.75359019111,8,106,CCVCVCV
Q-B-R-AH1-DH-ER1-L-IY1,0.999999527228,3.76120011569,8,106,CCVCVCV
