Word,Confusability,Frequency,Length,NumNeighbors,CV
Q-AH1,0.763473862736,13.8903935155,2,10,V
Q-EY1,0.926067045571,5.58349630878,2,10,V
Q-AA1,0.454521920584,9.48971301656,2,10,V
Q-AY1,0.986588684808,14.5317197541,2,10,V
Q-OW1,0.957447410046,12.1232343672,2,10,V
Q-AO1,0.58404525616,7.70210434005,2,10,V
Q-IY1,0.94544959423,8.26719218593,2,10,V
Q-EH1,0.933451303373,7.87054784451,2,10,V
Q-ER1,0.975654277725,7.58375630071,2,10,V
Q-OY1,0.96737480138,5.74300318781,2,10,V
Q-UW1,0.924326952218,8.48198043566,2,10,V
Q-EY1-EY1,0.999997444353,4.46590811865,3,6,VV
Q-ER1-EY1,0.997671873291,4.68213122712,3,6,VV
Q-AW1-ER1,0.999832774884,11.2860499586,3,6,VV
Q-ER1-AY1,0.9930833996,3.33220451018,3,6,VV
Q-IY1-AH1,0.999958085992,3.04452243772,3,6,VV
Q-AY1-OW1,0.999970457066,2.63905732962,3,6,VV
Q-OY1-ER1,0.999958516021,1.09861228867,3,6,VV
Q-T-R-IH1-P-AH1-L-EY1,0.979468535342,3.21887582487,8,106,CCVCVCV
Q-B-Y-UW1-T-IH1-F-AY1,0.999999999988,2.07944154168,8,106,CCVCVCV
Q-B-L-UW1-B-EH1-R-IY1,0.999999989122,4.8751973232,8,106,CCVCVCV
Q-B-R-AA1-CH-EH1-R-OW1,0.999999999988,2.30258509299,8,106,CCVCVCV
Q-B-R-AE1-S-AH1-R-IY1,0.999999897579,1.60943791243,8,106,CCVCVCV
Q-B-R-AH1-V-AA1-D-OW1,0.999999634322,3.17805383035,8,106,CCVCVCV
Q-B-R-EY1-K-AH1-W-EY1,0.999999995255,3.52636052462,8,106,CCVCVCV
Q-B-R-EH1-V-AH1-T-IY1,0.964367601065,2.3978952728,8,106,CCVCVCV
Q-B-R-AA1-K-AH1-L-IY1,0.999999819708,4.75359019111,8,106,CCVCVCV
Q-B-R-AH1-DH-ER1-L-IY1,0.999999978244,3.76120011569,8,106,CCVCVCV
Q-B-R-UW1-HH-AA1-HH-AA1,0.999999924045,2.3978952728,8,106,CCVCVCV
Q-B-R-UW1-T-AH1-L-IY1,0.999962548191,4.52178857705,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-F-AY1,0.999946836649,4.73619844839,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-T-IY1,0.999999977586,4.67282883446,8,106,CCVCVCV
Q-K-L-AE1-S-AH1-F-AY1,0.999999440302,3.4657359028,8,106,CCVCVCV
Q-K-L-EH1-V-ER1-L-IY1,0.999999966509,3.80666248977,8,106,CCVCVCV
Q-K-R-EY1-Z-AH1-L-IY1,0.999999987911,1.60943791243,8,106,CCVCVCV
Q-K-R-EH1-D-AH1-T-ER1,0.973074378204,1.94591014906,8,106,CCVCVCV
Q-K-R-AO1-S-OW1-V-ER1,0.999999994671,2.99573227355,8,106,CCVCVCV
Q-K-R-AA1-CH-AH1-T-IY1,0.999999801682,2.56494935746,8,106,CCVCVCV
Q-K-R-UW1-S-AH1-F-AY1,0.999999995023,4.70953020131,8,106,CCVCVCV
Q-K-R-UW1-S-EY1-D-ER1,0.999999977994,4.04305126783,8,106,CCVCVCV
