Word,Confusability,Frequency,Length,NumNeighbors,CV
Q-AH1,0.801947501935,13.8903935155,2,10,V
Q-EY1,0.884474405253,5.58349630878,2,10,V
Q-AA1,0.421717161014,9.48971301656,2,10,V
Q-AY1,0.986911481482,14.5317197541,2,10,V
Q-OW1,0.914967341381,12.1232343672,2,10,V
Q-AO1,0.532583740856,7.70210434005,2,10,V
Q-IY1,0.934231865867,8.26719218593,2,10,V
Q-EH1,0.918224594637,7.87054784451,2,10,V
Q-ER1,0.99990932616,7.58375630071,2,10,V
Q-OY1,0.935143931604,5.74300318781,2,10,V
Q-UW1,0.870734872781,8.48198043566,2,10,V
Q-EY1-EY1,0.999989977791,4.46590811865,3,6,VV
Q-ER1-EY1,0.995039086259,4.68213122712,3,6,VV
Q-AW1-ER1,0.998448810968,11.2860499586,3,6,VV
Q-ER1-AY1,0.97765962876,3.33220451018,3,6,VV
Q-IY1-AH1,0.999886586291,3.04452243772,3,6,VV
Q-AY1-OW1,0.999999884267,2.63905732962,3,6,VV
Q-OY1-ER1,0.774732240795,1.09861228867,3,6,VV
Q-T-R-IH1-P-AH1-L-EY1,0.967498102505,3.21887582487,8,106,CCVCVCV
Q-B-Y-UW1-T-IH1-F-AY1,0.999999990351,2.07944154168,8,106,CCVCVCV
Q-B-L-UW1-B-EH1-R-IY1,0.999999671028,4.8751973232,8,106,CCVCVCV
Q-B-R-AA1-CH-EH1-R-OW1,0.99999997144,2.30258509299,8,106,CCVCVCV
Q-B-R-AE1-S-AH1-R-IY1,0.999994599009,1.60943791243,8,106,CCVCVCV
Q-B-R-AH1-V-AA1-D-OW1,0.998823155159,3.17805383035,8,106,CCVCVCV
Q-B-R-EY1-K-AH1-W-EY1,0.999990156662,3.52636052462,8,106,CCVCVCV
Q-B-R-EH1-V-AH1-T-IY1,0.967327928258,2.3978952728,8,106,CCVCVCV
Q-B-R-AA1-K-AH1-L-IY1,0.999939894819,4.75359019111,8,106,CCVCVCV
Q-B-R-AH1-DH-ER1-L-IY1,0.999992000771,3.76120011569,8,106,CCVCVCV
Q-B-R-UW1-HH-AA1-HH-AA1,0.999995231891,2.3978952728,8,106,CCVCVCV
Q-B-R-UW1-T-AH1-L-IY1,0.998936641253,4.52178857705,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-F-AY1,0.999736037259,4.73619844839,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-T-IY1,0.999522595434,4.67282883446,8,106,CCVCVCV
Q-K-L-AE1-S-AH1-F-AY1,0.999924846988,3.4657359028,8,106,CCVCVCV
Q-K-L-EH1-V-ER1-L-IY1,0.99999548907,3.80666248977,8,106,CCVCVCV
Q-K-R-EY1-Z-AH1-L-IY1,0.99960755338,1.60943791243,8,106,CCVCVCV
Q-K-R-EH1-D-AH1-T-ER1,0.607178018119,1.94591014906,8,106,CCVCVCV
Q-K-R-AO1-S-OW1-V-ER1,0.999992680163,2.99573227355,8,106,CCVCVCV
Q-K-R-AA1-CH-AH1-T-IY1,0.99968172745,2.56494935746,8,106,CCVCVCV
Q-K-R-UW1-S-AH1-F-AY1,0.999999943331,4.70953020131,8,106,CCVCVCV
Q-K-R-UW1-S-EY1-D-ER1,0.999944233369,4.04305126783,8,106,CCVCVCV
Q-K-R-AY1-B-EY1-B-IY1,0.999999976142,4.20469261939,8,106,CCVCVCV
